adjmatrix_key,resp_status,age,religion,caste,speakother,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
353,1,35,1,1,2,0,0,0,0,0,0,9,1,1,2,1,1,2,0,1
354,2,25,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,1,0
356,1,50,1,1,2,0,0,0,0,0,0,4,1,1,2,1,1,2,0,1
360,1,35,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
364,3,35,1,1,2,0,0,0,0,0,0,9,1,1,1,1,1,2,0,1
369,1,68,1,1,2,0,0,0,0,0,0,6,1,1,2,1,1,2,0,1
371,3,28,1,1,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
378,1,30,1,1,2,0,0,0,0,0,0,5,1,1,2,1,3,2,0,1
381,1,50,1,1,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
383,3,22,1,1,2,0,0,0,0,0,0,12,1,2,2,1,1,2,0,1
385,3,22,1,1,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,0
387,1,35,1,1,2,0,0,0,0,0,0,6,1,1,2,1,3,2,0,1
403,1,30,1,1,2,0,0,0,0,0,0,5,1,1,2,1,3,2,0,1
413,1,50,1,1,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
416,3,25,1,1,1,0,1,1,1,0,0,7,1,2,2,3,3,2,0,0
419,1,35,1,1,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
426,1,60,1,1,2,0,0,0,0,0,0,6,1,1,2,1,1,2,0,1
428,3,30,1,1,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
430,3,18,1,3,2,0,0,0,0,0,0,3,1,1,2,1,1,2,0,0
451,1,60,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
453,3,30,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
457,1,70,1,3,2,0,0,0,0,0,0,16,1,2,2,1,3,2,0,1
463,1,45,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
464,2,35,1,4,2,0,0,0,0,0,0,8,1,2,1,1,1,2,0,0
468,1,45,1,4,2,0,0,0,0,0,0,16,1,1,1,1,1,2,0,1
480,1,45,1,3,2,0,0,0,0,0,0,3,1,1,2,1,1,2,0,1
481,2,35,1,4,2,0,0,0,0,0,0,9,1,1,2,1,1,2,1,0
490,1,35,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
519,1,45,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
523,3,18,1,4,2,0,0,0,0,0,0,10,1,2,2,1,1,2,0,0
524,1,40,1,4,2,0,0,0,0,0,0,6,1,2,2,1,1,2,0,1
526,3,22,1,4,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
531,1,45,1,4,1,0,0,1,0,0,0,12,1,1,1,1,3,2,0,1
542,3,41,1,4,2,0,0,0,0,0,0,14,1,1,1,1,3,2,0,1
544,3,10,1,4,2,0,0,0,0,0,0,14,1,1,1,1,3,2,0,1
546,3,37,1,4,1,0,0,1,0,0,1,14,1,1,1,1,1,2,0,1
549,1,49,1,4,2,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
550,2,35,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,0
584,1,80,1,4,2,0,0,0,0,0,0,4,1,1,2,1,1,2,0,1
586,3,30,1,4,2,0,0,0,0,0,0,10,1,2,2,1,1,2,0,1
589,1,40,1,4,2,0,0,0,0,0,0,4,1,1,2,1,1,2,0,1
613,1,52,1,4,1,0,0,1,0,0,0,12,1,1,1,1,1,2,0,1
618,1,67,1,4,1,0,0,1,0,0,1,12,1,2,1,1,3,2,0,1
631,1,53,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
633,3,25,1,4,2,0,0,0,0,0,0,13,1,1,2,1,1,2,0,1
636,1,50,1,4,2,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
638,3,10,1,4,1,0,0,0,0,0,1,15,1,2,2,3,1,2,0,0
641,3,35,1,4,2,0,0,0,0,0,0,13,1,1,1,1,1,2,0,0
645,1,31,1,4,2,0,0,0,0,0,0,10,1,1,2,1,3,2,0,1
647,1,50,1,4,2,0,0,0,0,0,0,12,1,1,2,1,1,2,0,1
648,2,45,1,4,2,0,0,0,0,0,0,7,1,2,2,1,1,2,0,0
649,3,20,1,4,1,0,0,0,1,0,1,13,1,2,2,3,1,2,0,0
650,3,18,1,4,1,0,0,0,1,0,1,13,1,2,2,3,1,2,0,0
663,1,40,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
683,1,30,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
696,1,78,1,4,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
698,3,30,1,4,1,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
705,1,46,1,4,2,0,0,0,0,0,0,7,1,1,1,1,1,2,0,1
711,1,45,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
728,1,70,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
729,2,60,1,4,2,0,0,0,0,0,0,16,1,1,2,1,1,2,1,0
730,3,30,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
731,3,19,1,4,2,0,0,0,0,0,0,8,1,1,2,3,1,2,0,0
743,1,35,1,4,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
747,1,70,1,4,2,0,0,0,0,0,0,16,1,2,1,1,1,2,0,1
749,3,30,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
752,1,62,1,4,2,0,0,0,0,0,0,8,1,2,2,1,1,2,0,1
753,2,48,1,4,2,0,0,0,0,0,0,16,1,2,2,1,2,2,0,0
754,3,32,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
756,3,22,1,4,2,0,0,0,0,0,0,11,1,1,2,1,1,2,0,0
757,3,26,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
38,1,45,1,4,2,0,0,0,0,0,0,9,1,1,2,1,1,2,0,1
41,3,32,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
45,1,44,1,3,2,0,0,0,0,0,0,16,1,1,1,1,1,2,0,1
51,1,35,1,3,2,0,0,0,0,0,0,7,1,1,2,1,3,2,0,1
73,1,35,1,3,2,0,0,0,0,0,0,9,1,1,2,1,1,2,0,1
101,1,60,1,4,2,0,0,0,0,0,0,7,1,1,1,1,1,2,0,0
102,1,40,1,4,2,0,0,0,0,0,0,12,1,1,1,1,1,2,0,1
106,3,48,1,4,2,0,0,0,0,0,0,4,1,1,2,1,1,2,0,1
109,1,56,1,4,1,0,0,1,0,0,1,10,1,1,1,1,1,2,0,1
118,1,50,1,3,2,0,0,0,0,0,0,10,1,2,1,1,1,2,0,1
120,3,30,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
126,1,61,1,3,1,1,0,0,0,0,0,10,1,2,1,1,1,6,0,1
129,3,35,1,3,1,1,0,0,0,0,0,10,1,1,2,1,1,6,0,1
133,3,32,1,3,1,1,0,0,0,0,0,6,1,2,2,1,1,6,1,0
138,3,35,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
162,1,50,1,3,2,0,0,0,0,0,0,3,1,2,2,1,1,2,0,1
171,1,44,1,3,1,0,0,1,1,0,1,14,1,1,1,1,1,2,0,1
172,2,39,1,3,2,0,0,0,0,0,0,10,1,2,1,1,1,2,1,0
173,3,18,1,3,1,0,0,0,0,0,1,14,1,2,1,3,1,2,0,0
182,1,55,1,3,2,0,0,0,0,0,0,8,1,1,2,1,1,2,0,1
184,3,30,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,0
191,1,55,1,4,2,0,0,0,0,0,0,16,1,1,1,1,1,2,0,1
193,3,28,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
196,1,56,1,3,2,0,0,0,0,0,0,8,1,1,2,1,1,2,0,1
199,1,45,1,4,2,0,0,0,0,0,0,13,1,2,1,1,1,2,0,1
200,2,36,1,3,2,0,0,0,0,0,0,10,1,2,1,1,1,2,0,0
208,3,40,1,4,2,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
210,3,34,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
215,1,70,1,3,2,0,0,0,0,0,0,4,1,2,2,1,1,2,0,1
217,3,45,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
233,3,35,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
255,1,60,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
